Time_s   F0_Hz
0.020658   --undefined--
0.030658   261.499167
0.040658   232.305932
0.050658   220.033257
0.060658   218.788293
0.070658   219.442140
0.080658   234.661441
0.090658   235.412632
0.100658   233.010911
0.110658   230.379048
0.120658   228.158898
0.130658   225.944014
0.140658   224.270229
0.150658   219.491054
0.160658   226.697081
0.170658   226.539599
0.180658   226.205762
0.190658   226.060932
0.200658   226.504304
0.210658   227.119117
0.220658   --undefined--
0.230658   --undefined--
0.240658   --undefined--
0.250658   --undefined--
0.260658   270.522599
0.270658   265.733875
0.280658   264.933181
0.290658   263.408188
0.300658   257.838719
0.310658   --undefined--
0.320658   --undefined--
0.330658   --undefined--
0.340658   --undefined--
0.350658   --undefined--
0.360658   --undefined--
0.370658   --undefined--
0.380658   --undefined--
0.390658   --undefined--
0.400658   330.215856
0.410658   314.586418
0.420658   288.014459
0.430658   282.800619
0.440658   281.941925
0.450658   282.197975
0.460658   282.312656
0.470658   283.460799
0.480658   285.797368
0.490658   288.260473
0.500658   294.940498
0.510658   --undefined--
0.520658   --undefined--
0.530658   --undefined--
0.540658   --undefined--
0.550658   --undefined--
0.560658   --undefined--
0.570658   --undefined--
0.580658   --undefined--
0.590658   --undefined--
0.600658   --undefined--
0.610658   --undefined--
0.620658   --undefined--
0.630658   228.268068
0.640658   231.034385
0.650658   230.440254
0.660658   218.573513
0.670658   214.572143
0.680658   217.161719
0.690658   211.915386
0.700658   --undefined--
0.710658   --undefined--
0.720658   --undefined--
0.730658   --undefined--
0.740658   240.327270
0.750658   228.557325
0.760658   218.579791
0.770658   218.426239
0.780658   228.248709
0.790658   232.502225
0.800658   233.780885
0.810658   233.122093
0.820658   232.573516
0.830658   234.484039
0.840658   242.644062
0.850658   --undefined--
0.860658   --undefined--
0.870658   --undefined--
0.880658   --undefined--
0.890658   --undefined--
0.900658   --undefined--
0.910658   --undefined--
0.920658   --undefined--
0.930658   --undefined--
0.940658   --undefined--
0.950658   --undefined--
0.960658   --undefined--
0.970658   --undefined--
0.980658   267.949719
0.990658   245.178050
1.000658   223.834555
1.010658   212.742232
1.020658   207.340593
1.030658   201.959259
1.040658   197.905049
1.050658   194.079213
1.060658   191.665080
1.070658   187.973570
1.080658   --undefined--
1.090658   --undefined--
1.100658   --undefined--
1.110658   --undefined--
1.120658   --undefined--
1.130658   --undefined--
1.140658   --undefined--
1.150658   --undefined--
1.160658   --undefined--
1.170658   --undefined--
1.180658   --undefined--
1.190658   --undefined--
1.200658   87.977762
1.210658   78.141635
1.220658   78.518015
1.230658   --undefined--
1.240658   185.138943
1.250658   181.953247
1.260658   187.452917
1.270658   --undefined--
1.280658   --undefined--
1.290658   --undefined--
1.300658   --undefined--
