Time_s   F0_Hz
0.022948   101.952564
0.032948   101.511193
0.042948   106.740741
0.052948   240.926372
0.062948   241.945364
0.072948   237.677569
0.082948   235.834591
0.092948   230.897212
0.102948   224.553956
0.112948   214.441375
0.122948   200.255193
0.132948   185.936035
0.142948   175.741866
0.152948   166.142552
0.162948   161.530853
0.172948   193.525030
0.182948   195.207865
0.192948   205.671080
0.202948   --undefined--
0.212948   --undefined--
0.222948   --undefined--
0.232948   --undefined--
0.242948   --undefined--
0.252948   --undefined--
0.262948   --undefined--
0.272948   --undefined--
0.282948   --undefined--
0.292948   --undefined--
0.302948   --undefined--
0.312948   --undefined--
0.322948   130.724353
0.332948   128.282083
0.342948   125.659202
0.352948   123.255597
0.362948   121.013965
0.372948   118.482888
0.382948   116.810240
0.392948   115.949251
0.402948   115.621113
0.412948   115.300474
0.422948   114.684527
0.432948   114.121219
0.442948   113.701099
0.452948   112.211489
0.462948   111.261874
0.472948   110.762551
0.482948   110.144777
0.492948   110.160194
0.502948   110.274606
0.512948   111.089502
0.522948   111.763740
0.532948   112.149472
0.542948   112.023407
0.552948   109.614987
0.562948   106.047036
0.572948   101.588415
0.582948   101.035117
0.592948   103.695722
0.602948   110.835616
0.612948   115.272556
0.622948   117.318286
0.632948   116.696848
0.642948   116.743103
0.652948   114.727440
0.662948   110.709415
0.672948   105.002757
0.682948   100.702577
0.692948   93.999939
0.702948   94.049152
0.712948   105.347550
0.722948   109.165276
0.732948   114.234615
0.742948   114.923083
0.752948   114.215261
0.762948   113.303659
0.772948   112.465633
0.782948   111.823774
0.792948   111.071496
0.802948   110.374444
0.812948   109.877717
0.822948   109.370399
0.832948   107.990462
0.842948   107.414462
0.852948   107.323982
0.862948   106.782675
0.872948   105.853540
0.882948   105.378740
0.892948   104.647435
0.902948   106.143053
0.912948   107.552697
0.922948   110.620842
0.932948   114.065119
0.942948   115.739196
0.952948   116.551055
0.962948   115.406158
0.972948   113.780679
0.982948   112.890128
0.992948   114.303838
1.002948   115.755446
1.012948   115.569313
1.022948   115.325048
1.032948   114.720495
1.042948   113.823823
1.052948   112.859845
1.062948   107.549737
1.072948   108.283796
1.082948   108.803021
1.092948   --undefined--
1.102948   --undefined--
1.112948   --undefined--
1.122948   --undefined--
1.132948   --undefined--
1.142948   --undefined--
1.152948   --undefined--
1.162948   --undefined--
1.172948   119.872090
1.182948   118.258359
1.192948   115.110027
1.202948   110.583881
1.212948   106.291996
1.222948   103.571413
1.232948   101.365113
1.242948   98.860452
1.252948   99.033227
1.262948   100.427596
1.272948   100.504978
1.282948   98.289925
1.292948   94.993626
1.302948   92.705817
1.312948   91.907371
1.322948   93.807986
1.332948   103.343954
1.342948   104.307739
1.352948   104.091505
1.362948   103.211915
1.372948   100.552439
1.382948   97.563010
1.392948   96.795405
1.402948   95.994272
1.412948   95.018306
1.422948   89.694995
1.432948   84.415103
1.442948   87.395648
1.452948   95.484382
1.462948   97.303476
1.472948   --undefined--
1.482948   --undefined--
1.492948   --undefined--
1.502948   --undefined--
1.512948   --undefined--
1.522948   93.425626
1.532948   90.269773
1.542948   88.523643
1.552948   87.482376
1.562948   --undefined--
1.572948   --undefined--
1.582948   --undefined--
1.592948   --undefined--
1.602948   --undefined--
1.612948   --undefined--
1.622948   --undefined--
1.632948   --undefined--
1.642948   --undefined--
1.652948   --undefined--
1.662948   --undefined--
1.672948   --undefined--
1.682948   --undefined--
1.692948   --undefined--
1.702948   --undefined--
1.712948   --undefined--
1.722948   --undefined--
1.732948   109.634279
1.742948   107.218303
1.752948   102.921216
1.762948   99.763657
1.772948   100.469465
1.782948   100.732853
1.792948   99.632234
1.802948   98.132532
1.812948   96.076629
1.822948   94.410865
1.832948   77.999484
1.842948   89.015052
1.852948   96.015998
1.862948   95.982718
1.872948   --undefined--
1.882948   --undefined--
1.892948   --undefined--
1.902948   --undefined--
1.912948   83.696342
1.922948   84.083127
1.932948   84.187602
1.942948   84.359605
1.952948   --undefined--
1.962948   --undefined--
1.972948   --undefined--
1.982948   86.035230
1.992948   93.746164
2.002948   93.022566
2.012948   --undefined--
2.022948   --undefined--
2.032948   --undefined--
2.042948   --undefined--
2.052948   --undefined--
2.062948   --undefined--
2.072948   --undefined--
2.082948   --undefined--
2.092948   --undefined--
2.102948   --undefined--
2.112948   --undefined--
2.122948   --undefined--
2.132948   --undefined--
2.142948   --undefined--
2.152948   --undefined--
2.162948   --undefined--
2.172948   --undefined--
2.182948   --undefined--
