Time_s   F0_Hz
0.023231   --undefined--
0.033231   --undefined--
0.043231   113.803399
0.053231   112.259171
0.063231   112.064851
0.073231   112.235602
0.083231   112.513185
0.093231   113.826873
0.103231   115.834422
0.113231   118.074366
0.123231   120.827247
0.133231   125.410409
0.143231   130.496477
0.153231   136.283961
0.163231   141.339514
0.173231   145.503823
0.183231   148.818906
0.193231   151.491135
0.203231   153.971649
0.213231   155.657677
0.223231   156.856360
0.233231   158.193669
0.243231   159.212241
0.253231   160.724839
0.263231   158.932554
0.273231   156.887196
0.283231   158.465989
0.293231   155.491712
0.303231   153.816954
0.313231   156.578218
0.323231   155.630104
0.333231   156.780434
0.343231   156.876761
0.353231   155.205967
0.363231   156.410480
0.373231   158.922532
0.383231   158.543332
0.393231   158.349948
0.403231   156.072559
0.413231   157.279105
0.423231   --undefined--
0.433231   --undefined--
0.443231   --undefined--
0.453231   --undefined--
0.463231   135.539049
0.473231   138.526141
0.483231   140.821481
0.493231   140.829867
0.503231   141.211969
0.513231   141.724172
0.523231   140.393143
0.533231   137.691018
0.543231   136.135369
0.553231   139.082547
0.563231   139.724924
0.573231   143.705415
0.583231   145.591872
0.593231   146.084742
0.603231   144.435381
0.613231   142.845420
0.623231   142.481813
0.633231   137.875244
0.643231   141.486466
0.653231   141.812318
0.663231   141.552645
0.673231   141.117991
0.683231   --undefined--
0.693231   139.048112
0.703231   140.697359
0.713231   141.290168
0.723231   137.954170
0.733231   135.739929
0.743231   136.198062
0.753231   135.531821
0.763231   133.393365
0.773231   130.686577
0.783231   128.631312
0.793231   133.773330
0.803231   134.733564
0.813231   131.742180
0.823231   --undefined--
0.833231   --undefined--
0.843231   --undefined--
0.853231   133.835489
0.863231   132.308620
0.873231   132.673652
0.883231   131.309354
0.893231   129.477820
0.903231   128.484465
0.913231   129.993666
0.923231   130.415237
0.933231   131.699692
0.943231   132.797347
0.953231   133.803608
0.963231   134.905579
0.973231   133.365405
0.983231   130.824230
0.993231   128.809051
1.003231   126.266887
1.013231   125.310215
1.023231   126.165532
1.033231   125.343453
1.043231   122.495406
1.053231   122.044162
1.063231   123.221769
1.073231   122.176703
1.083231   120.053532
1.093231   118.104632
1.103231   114.012064
1.113231   109.088470
1.123231   102.470602
1.133231   --undefined--
1.143231   --undefined--
1.153231   --undefined--
1.163231   358.523123
1.173231   361.426638
1.183231   --undefined--
1.193231   103.553268
1.203231   102.266405
1.213231   101.503919
1.223231   100.550865
1.233231   100.767921
1.243231   100.764514
1.253231   98.181871
1.263231   --undefined--
1.273231   --undefined--
1.283231   --undefined--
1.293231   --undefined--
1.303231   --undefined--
1.313231   --undefined--
1.323231   --undefined--
1.333231   --undefined--
1.343231   --undefined--
1.353231   --undefined--
1.363231   --undefined--
1.373231   --undefined--
1.383231   --undefined--
1.393231   --undefined--
