Time_s   F0_Hz
0.023141   180.538785
0.033141   184.659137
0.043141   186.228092
0.053141   187.557091
0.063141   188.759890
0.073141   189.409729
0.083141   190.100470
0.093141   192.062626
0.103141   194.834782
0.113141   195.426536
0.123141   194.145537
0.133141   192.166857
0.143141   190.130680
0.153141   185.467869
0.163141   153.611227
0.173141   137.359131
0.183141   122.401325
0.193141   --undefined--
0.203141   --undefined--
0.213141   --undefined--
0.223141   --undefined--
0.233141   --undefined--
0.243141   177.884841
0.253141   183.779248
0.263141   189.992836
0.273141   188.444813
0.283141   183.956382
0.293141   192.739754
0.303141   198.096824
0.313141   197.160422
0.323141   194.631456
0.333141   190.681258
0.343141   181.494883
0.353141   170.399482
0.363141   165.621233
0.373141   161.061442
0.383141   157.488837
0.393141   154.537049
0.403141   152.242726
0.413141   154.912371
0.423141   167.033687
0.433141   180.548615
0.443141   193.081389
0.453141   203.891663
0.463141   210.350970
0.473141   214.722730
0.483141   219.259367
0.493141   222.424550
0.503141   222.139505
0.513141   220.403975
0.523141   218.049000
0.533141   213.807111
0.543141   209.734429
0.553141   185.201467
0.563141   171.117585
0.573141   156.904615
0.583141   --undefined--
0.593141   --undefined--
0.603141   --undefined--
0.613141   --undefined--
0.623141   --undefined--
0.633141   203.450181
0.643141   206.951864
0.653141   206.803664
0.663141   203.024821
0.673141   198.740221
0.683141   194.576024
0.693141   187.220814
0.703141   161.157148
0.713141   140.868055
0.723141   --undefined--
0.733141   --undefined--
0.743141   199.714823
0.753141   186.110127
0.763141   182.504755
0.773141   177.713027
0.783141   172.957483
0.793141   156.532355
0.803141   155.414679
0.813141   152.383422
0.823141   150.219146
0.833141   153.988379
0.843141   158.621594
0.853141   162.424531
0.863141   165.406492
0.873141   166.363164
0.883141   163.769855
0.893141   159.104286
0.903141   146.588865
0.913141   138.601793
0.923141   135.037732
0.933141   133.462662
0.943141   131.859620
0.953141   130.000795
0.963141   129.334059
0.973141   130.275596
0.983141   130.136605
0.993141   144.081636
1.003141   154.856946
1.013141   156.883879
1.023141   157.027125
1.033141   149.464873
1.043141   145.507001
1.053141   143.498628
1.063141   141.559956
1.073141   139.672484
1.083141   137.734514
1.093141   136.173262
1.103141   134.116703
1.113141   131.737399
1.123141   127.799409
1.133141   125.050714
1.143141   125.628132
1.153141   124.808302
1.163141   122.688749
1.173141   119.434732
1.183141   117.501472
1.193141   116.733922
1.203141   113.342750
1.213141   109.784369
1.223141   108.233297
1.233141   106.391382
1.243141   104.411505
1.253141   102.214443
1.263141   99.518410
1.273141   96.569464
1.283141   92.814186
1.293141   90.100239
