Time_s   F0_Hz
0.024819   --undefined--
0.034819   104.797583
0.044819   109.366924
0.054819   113.292423
0.064819   114.494167
0.074819   115.565838
0.084819   116.788234
0.094819   117.086996
0.104819   116.305299
0.114819   115.131670
0.124819   111.715930
0.134819   105.544652
0.144819   103.559542
0.154819   94.745471
0.164819   92.680915
0.174819   92.669538
0.184819   96.261340
0.194819   96.176574
0.204819   93.502329
0.214819   90.240848
0.224819   87.417690
0.234819   89.981551
0.244819   92.611172
0.254819   94.784465
0.264819   95.553850
0.274819   95.868678
0.284819   95.960006
0.294819   95.960908
0.304819   96.346651
0.314819   96.533213
0.324819   97.041202
0.334819   96.746643
0.344819   95.861171
0.354819   93.999200
0.364819   92.874314
0.374819   94.594572
0.384819   --undefined--
0.394819   --undefined--
0.404819   --undefined--
0.414819   --undefined--
0.424819   --undefined--
0.434819   95.586936
0.444819   95.820236
0.454819   95.733115
0.464819   94.166557
0.474819   92.545417
0.484819   95.572307
0.494819   93.201089
0.504819   89.183662
0.514819   86.870648
0.524819   82.364596
0.534819   81.426789
0.544819   75.144792
0.554819   --undefined--
0.564819   --undefined--
0.574819   --undefined--
0.584819   79.823337
0.594819   83.196696
0.604819   86.066343
0.614819   86.664541
0.624819   --undefined--
0.634819   --undefined--
0.644819   --undefined--
0.654819   --undefined--
0.664819   --undefined--
0.674819   83.808867
0.684819   82.511795
0.694819   80.992842
0.704819   82.976547
0.714819   83.031960
0.724819   82.912662
0.734819   83.351610
0.744819   83.517817
0.754819   83.658732
0.764819   83.362088
0.774819   82.641087
0.784819   81.764140
0.794819   82.382723
0.804819   --undefined--
0.814819   --undefined--
0.824819   --undefined--
0.834819   --undefined--
0.844819   --undefined--
0.854819   --undefined--
0.864819   82.635816
0.874819   82.409121
0.884819   82.525823
0.894819   80.502179
0.904819   79.395076
0.914819   --undefined--
0.924819   --undefined--
0.934819   --undefined--
0.944819   --undefined--
0.954819   --undefined--
0.964819   --undefined--
0.974819   --undefined--
0.984819   --undefined--
0.994819   --undefined--
1.004819   --undefined--
1.014819   --undefined--
1.024819   --undefined--
1.034819   --undefined--
1.044819   --undefined--
1.054819   --undefined--
1.064819   --undefined--
1.074819   --undefined--
1.084819   --undefined--
1.094819   --undefined--
1.104819   --undefined--
1.114819   --undefined--
1.124819   --undefined--
1.134819   --undefined--
1.144819   --undefined--
1.154819   --undefined--
1.164819   --undefined--
1.174819   --undefined--
1.184819   --undefined--
1.194819   --undefined--
1.204819   --undefined--
1.214819   75.305193
1.224819   75.335574
1.234819   --undefined--
1.244819   --undefined--
1.254819   --undefined--
1.264819   --undefined--
1.274819   --undefined--
1.284819   --undefined--
1.294819   --undefined--
1.304819   --undefined--
1.314819   --undefined--
1.324819   --undefined--
1.334819   --undefined--
1.344819   --undefined--
1.354819   --undefined--
1.364819   --undefined--
1.374819   --undefined--
1.384819   219.562422
1.394819   209.432176
1.404819   --undefined--
1.414819   --undefined--
