Time_s   F0_Hz
0.024308   --undefined--
0.034308   --undefined--
0.044308   98.941880
0.054308   99.869962
0.064308   99.824295
0.074308   99.667097
0.084308   79.325633
0.094308   79.472744
0.104308   78.331631
0.114308   --undefined--
0.124308   --undefined--
0.134308   --undefined--
0.144308   --undefined--
0.154308   --undefined--
0.164308   213.805962
0.174308   219.171713
0.184308   225.739105
0.194308   228.298077
0.204308   232.214792
0.214308   240.767347
0.224308   253.332224
0.234308   277.109502
0.244308   287.334450
0.254308   307.701261
0.264308   321.074733
0.274308   326.143080
0.284308   323.936336
0.294308   315.252171
0.304308   296.585854
0.314308   279.409074
0.324308   --undefined--
0.334308   --undefined--
0.344308   --undefined--
0.354308   --undefined--
0.364308   --undefined--
0.374308   --undefined--
0.384308   --undefined--
0.394308   76.961751
0.404308   80.369447
0.414308   80.222402
0.424308   --undefined--
0.434308   --undefined--
0.444308   --undefined--
0.454308   --undefined--
0.464308   200.284817
0.474308   189.444676
0.484308   179.802912
0.494308   --undefined--
0.504308   --undefined--
0.514308   --undefined--
0.524308   --undefined--
0.534308   --undefined--
0.544308   --undefined--
0.554308   --undefined--
0.564308   --undefined--
0.574308   174.461729
0.584308   174.136559
0.594308   168.313754
0.604308   172.272012
0.614308   172.595446
0.624308   166.144431
0.634308   166.703883
0.644308   165.540053
0.654308   --undefined--
0.664308   --undefined--
0.674308   91.338973
0.684308   84.255753
0.694308   82.456830
0.704308   85.141877
0.714308   84.992207
0.724308   89.195559
0.734308   96.229109
0.744308   92.786333
0.754308   88.276723
0.764308   84.595937
0.774308   82.326823
0.784308   80.458095
0.794308   --undefined--
0.804308   --undefined--
0.814308   --undefined--
0.824308   178.697638
0.834308   175.510403
0.844308   176.082088
0.854308   176.761639
0.864308   178.692665
0.874308   181.403645
0.884308   180.693194
0.894308   --undefined--
0.904308   --undefined--
0.914308   --undefined--
0.924308   --undefined--
0.934308   --undefined--
0.944308   --undefined--
0.954308   --undefined--
0.964308   --undefined--
0.974308   --undefined--
0.984308   --undefined--
0.994308   --undefined--
1.004308   214.835898
1.014308   215.296165
1.024308   211.571328
1.034308   204.075609
1.044308   198.335562
1.054308   194.695713
1.064308   191.419934
1.074308   189.272941
1.084308   187.396329
1.094308   184.986016
1.104308   183.363940
1.114308   180.659186
1.124308   175.022924
1.134308   --undefined--
1.144308   --undefined--
1.154308   --undefined--
1.164308   --undefined--
1.174308   --undefined--
1.184308   --undefined--
1.194308   --undefined--
1.204308   --undefined--
1.214308   195.227122
1.224308   195.982900
1.234308   193.575306
1.244308   --undefined--
1.254308   --undefined--
1.264308   --undefined--
1.274308   --undefined--
1.284308   --undefined--
1.294308   --undefined--
1.304308   --undefined--
1.314308   --undefined--
1.324308   --undefined--
1.334308   --undefined--
1.344308   --undefined--
1.354308   --undefined--
1.364308   --undefined--
1.374308   --undefined--
1.384308   --undefined--
1.394308   --undefined--
1.404308   --undefined--
1.414308   --undefined--
1.424308   --undefined--
1.434308   --undefined--
1.444308   --undefined--
1.454308   --undefined--
1.464308   --undefined--
1.474308   --undefined--
1.484308   --undefined--
1.494308   484.392895
1.504308   484.025222
1.514308   482.940632
1.524308   480.675634
1.534308   416.817180
1.544308   471.531505
1.554308   463.565944
1.564308   463.691198
1.574308   496.326234
1.584308   --undefined--
1.594308   --undefined--
1.604308   --undefined--
1.614308   --undefined--
1.624308   220.676680
