Time_s   F0_Hz
0.021542   --undefined--
0.031542   --undefined--
0.041542   --undefined--
0.051542   --undefined--
0.061542   --undefined--
0.071542   --undefined--
0.081542   --undefined--
0.091542   --undefined--
0.101542   --undefined--
0.111542   --undefined--
0.121542   --undefined--
0.131542   --undefined--
0.141542   --undefined--
0.151542   --undefined--
0.161542   --undefined--
0.171542   --undefined--
0.181542   --undefined--
0.191542   --undefined--
0.201542   --undefined--
0.211542   219.458016
0.221542   220.614894
0.231542   224.044203
0.241542   224.100828
0.251542   220.165097
0.261542   221.172594
0.271542   221.149649
0.281542   229.443219
0.291542   234.099413
0.301542   238.671591
0.311542   237.671415
0.321542   233.656531
0.331542   231.024757
0.341542   230.599621
0.351542   231.391052
0.361542   232.520627
0.371542   232.126853
0.381542   229.179826
0.391542   223.292484
0.401542   214.088301
0.411542   221.285754
0.421542   232.527487
0.431542   234.185432
0.441542   231.342161
0.451542   230.497281
0.461542   230.319455
0.471542   236.337857
0.481542   232.432247
0.491542   228.074741
0.501542   223.740286
0.511542   222.050369
0.521542   218.006332
0.531542   214.325581
0.541542   212.144242
0.551542   210.533902
0.561542   209.549905
0.571542   209.325746
0.581542   215.527006
0.591542   229.368893
0.601542   230.144194
0.611542   229.473584
0.621542   --undefined--
0.631542   --undefined--
0.641542   237.012412
0.651542   227.809855
0.661542   226.594918
0.671542   227.786601
0.681542   227.243145
0.691542   222.130577
0.701542   216.278465
0.711542   213.272510
0.721542   215.111146
0.731542   217.045672
0.741542   221.739982
0.751542   231.233970
0.761542   239.945484
0.771542   242.943787
0.781542   243.924781
0.791542   243.345351
0.801542   242.023715
0.811542   241.128941
0.821542   239.612950
0.831542   237.052572
0.841542   228.434557
0.851542   219.655563
0.861542   227.055528
0.871542   236.448740
0.881542   242.346866
0.891542   242.232126
0.901542   236.421786
0.911542   234.458816
0.921542   233.574498
0.931542   231.724493
0.941542   225.549185
0.951542   --undefined--
0.961542   --undefined--
0.971542   --undefined--
0.981542   --undefined--
0.991542   --undefined--
1.001542   --undefined--
1.011542   --undefined--
1.021542   242.331893
1.031542   236.597720
1.041542   231.163147
1.051542   224.348960
1.061542   224.212108
1.071542   223.508383
1.081542   222.590900
1.091542   223.238324
1.101542   224.092268
1.111542   232.637857
1.121542   --undefined--
1.131542   --undefined--
1.141542   --undefined--
1.151542   --undefined--
1.161542   --undefined--
1.171542   242.006413
1.181542   232.858316
1.191542   227.449666
1.201542   221.276600
1.211542   219.893436
1.221542   221.574495
1.231542   223.194807
1.241542   --undefined--
1.251542   --undefined--
1.261542   --undefined--
1.271542   --undefined--
1.281542   --undefined--
