Time_s   F0_Hz
0.022438   331.870059
0.032438   334.867011
0.042438   333.728717
0.052438   334.462476
0.062438   331.203985
0.072438   328.638900
0.082438   326.201304
0.092438   324.843551
0.102438   323.743161
0.112438   322.009623
0.122438   318.048345
0.132438   311.894212
0.142438   309.763174
0.152438   312.455358
0.162438   316.142408
0.172438   319.909034
0.182438   320.410986
0.192438   315.628349
0.202438   314.664726
0.212438   --undefined--
0.222438   --undefined--
0.232438   --undefined--
0.242438   --undefined--
0.252438   --undefined--
0.262438   --undefined--
0.272438   --undefined--
0.282438   --undefined--
0.292438   --undefined--
0.302438   --undefined--
0.312438   331.847244
0.322438   321.867044
0.332438   308.833491
0.342438   286.388226
0.352438   255.776412
0.362438   --undefined--
0.372438   --undefined--
0.382438   --undefined--
0.392438   --undefined--
0.402438   --undefined--
0.412438   --undefined--
0.422438   --undefined--
0.432438   --undefined--
0.442438   317.115835
0.452438   307.940080
0.462438   299.936354
0.472438   279.628283
0.482438   249.021628
0.492438   235.543415
0.502438   231.744407
0.512438   261.128369
0.522438   268.347695
0.532438   271.695021
0.542438   272.202513
0.552438   271.197636
0.562438   270.364353
0.572438   268.102315
0.582438   245.327009
0.592438   264.959496
0.602438   270.796731
0.612438   281.914200
0.622438   286.565780
0.632438   285.197702
0.642438   284.829164
0.652438   280.934511
0.662438   264.303049
0.672438   259.772494
0.682438   270.554127
0.692438   284.225926
0.702438   288.839023
0.712438   289.185378
0.722438   289.113740
0.732438   287.902289
0.742438   285.038471
0.752438   284.320050
0.762438   279.479626
0.772438   268.183634
0.782438   262.316639
0.792438   --undefined--
0.802438   --undefined--
0.812438   --undefined--
0.822438   --undefined--
0.832438   --undefined--
0.842438   --undefined--
0.852438   --undefined--
0.862438   --undefined--
0.872438   283.705432
0.882438   280.933740
0.892438   275.527890
0.902438   270.297342
0.912438   262.846904
0.922438   247.591663
0.932438   240.216622
0.942438   --undefined--
0.952438   --undefined--
0.962438   --undefined--
0.972438   --undefined--
0.982438   --undefined--
0.992438   --undefined--
1.002438   --undefined--
1.012438   --undefined--
1.022438   --undefined--
1.032438   --undefined--
1.042438   --undefined--
1.052438   295.399263
1.062438   294.883504
1.072438   285.230178
1.082438   275.358007
1.092438   272.926325
1.102438   274.271697
1.112438   276.596438
1.122438   278.307838
1.132438   281.909570
1.142438   285.511362
1.152438   290.019641
1.162438   292.042623
1.172438   291.564272
1.182438   291.038389
1.192438   289.620120
1.202438   287.296410
1.212438   284.450840
1.222438   278.926623
1.232438   268.753077
1.242438   261.735388
1.252438   275.182527
1.262438   285.174234
1.272438   --undefined--
1.282438   --undefined--
1.292438   --undefined--
1.302438   --undefined--
1.312438   --undefined--
1.322438   --undefined--
1.332438   --undefined--
1.342438   --undefined--
1.352438   276.149510
1.362438   267.801605
1.372438   263.117014
1.382438   254.824904
1.392438   238.978054
1.402438   220.195062
1.412438   231.523823
1.422438   223.490184
1.432438   192.272415
1.442438   --undefined--
1.452438   --undefined--
1.462438   --undefined--
1.472438   --undefined--
1.482438   --undefined--
1.492438   --undefined--
1.502438   --undefined--
1.512438   237.770704
1.522438   228.405171
1.532438   219.478951
1.542438   215.166020
1.552438   211.284145
1.562438   210.380282
1.572438   207.299509
1.582438   205.756242
1.592438   --undefined--
1.602438   --undefined--
1.612438   --undefined--
1.622438   --undefined--
1.632438   --undefined--
1.642438   --undefined--
1.652438   --undefined--
1.662438   --undefined--
1.672438   --undefined--
1.682438   219.285846
1.692438   203.259585
1.702438   198.767992
1.712438   191.385461
1.722438   189.438501
1.732438   186.319564
1.742438   183.124053
1.752438   179.426588
1.762438   174.680025
1.772438   174.235242
1.782438   175.737352
1.792438   173.959807
1.802438   171.826497
1.812438   168.875429
1.822438   167.140395
1.832438   173.645126
1.842438   174.194536
1.852438   174.937733
1.862438   --undefined--
1.872438   --undefined--
1.882438   --undefined--
1.892438   --undefined--
1.902438   --undefined--
1.912438   --undefined--
1.922438   --undefined--
1.932438   --undefined--
1.942438   --undefined--
1.952438   --undefined--
1.962438   --undefined--
1.972438   --undefined--
1.982438   190.756017
1.992438   180.364636
2.002438   176.645536
2.012438   174.159159
2.022438   170.272172
2.032438   161.554467
2.042438   168.120675
2.052438   85.507793
2.062438   84.591545
2.072438   85.053320
2.082438   82.645269
2.092438   84.193744
2.102438   168.885140
2.112438   163.518534
2.122438   156.500489
2.132438   151.289440
2.142438   --undefined--
2.152438   --undefined--
2.162438   --undefined--
2.172438   --undefined--
2.182438   --undefined--
2.192438   --undefined--
2.202438   --undefined--
2.212438   --undefined--
2.222438   --undefined--
2.232438   --undefined--
2.242438   --undefined--
2.252438   --undefined--
2.262438   --undefined--
2.272438   --undefined--
2.282438   --undefined--
2.292438   --undefined--
2.302438   --undefined--
2.312438   --undefined--
2.322438   --undefined--
2.332438   --undefined--
2.342438   177.659814
2.352438   174.181101
2.362438   163.607718
2.372438   160.515375
2.382438   --undefined--
2.392438   --undefined--
