Time_s   F0_Hz
0.020544   121.871187
0.030544   122.031854
0.040544   121.465722
0.050544   122.395728
0.060544   123.125974
0.070544   124.800250
0.080544   124.702109
0.090544   121.872442
0.100544   117.660693
0.110544   106.399368
0.120544   104.173369
0.130544   106.218121
0.140544   110.541330
0.150544   112.180940
0.160544   110.964608
0.170544   115.364519
0.180544   117.044385
0.190544   118.138225
0.200544   119.737726
0.210544   121.762928
0.220544   124.245528
0.230544   127.242660
0.240544   124.198669
0.250544   134.745841
0.260544   141.308507
0.270544   145.756622
0.280544   153.771618
0.290544   159.960944
0.300544   163.416160
0.310544   168.275376
0.320544   170.940219
0.330544   166.329471
0.340544   161.462516
0.350544   164.870563
0.360544   168.139088
0.370544   172.936181
0.380544   171.375117
0.390544   --undefined--
0.400544   --undefined--
0.410544   --undefined--
0.420544   --undefined--
0.430544   169.733712
0.440544   168.581341
0.450544   167.319441
0.460544   163.954112
0.470544   158.888671
0.480544   151.658232
0.490544   144.542074
0.500544   140.201372
0.510544   136.847523
0.520544   131.999933
0.530544   130.037256
0.540544   126.931938
0.550544   129.421383
0.560544   132.323984
0.570544   135.711752
0.580544   138.037658
0.590544   139.937806
0.600544   140.712733
0.610544   140.217941
0.620544   138.542206
0.630544   136.697564
0.640544   133.545856
0.650544   136.018447
0.660544   136.298761
0.670544   137.992924
0.680544   137.850715
0.690544   136.834625
0.700544   136.727430
0.710544   136.478009
0.720544   136.524343
0.730544   133.764765
0.740544   131.381941
0.750544   130.208318
0.760544   131.652415
0.770544   133.494283
0.780544   --undefined--
0.790544   --undefined--
0.800544   --undefined--
0.810544   --undefined--
0.820544   --undefined--
0.830544   --undefined--
0.840544   --undefined--
0.850544   --undefined--
0.860544   --undefined--
0.870544   --undefined--
0.880544   --undefined--
0.890544   --undefined--
0.900544   --undefined--
0.910544   --undefined--
0.920544   --undefined--
0.930544   137.224038
0.940544   134.771833
0.950544   128.145036
0.960544   123.574248
0.970544   119.807259
0.980544   116.116815
0.990544   113.815063
1.000544   112.485850
1.010544   111.297580
1.020544   110.575659
1.030544   108.906910
1.040544   98.082988
1.050544   --undefined--
1.060544   --undefined--
1.070544   --undefined--
1.080544   --undefined--
1.090544   --undefined--
1.100544   --undefined--
1.110544   --undefined--
1.120544   --undefined--
1.130544   --undefined--
1.140544   --undefined--
1.150544   105.212919
1.160544   100.264833
1.170544   100.033830
1.180544   98.042171
1.190544   97.947545
1.200544   99.150815
1.210544   97.837910
1.220544   94.684259
1.230544   92.074543
1.240544   88.225513
