Time_s   F0_Hz
0.023209   --undefined--
0.033209   --undefined--
0.043209   --undefined--
0.053209   --undefined--
0.063209   --undefined--
0.073209   143.177420
0.083209   142.603458
0.093209   148.254615
0.103209   135.170238
0.113209   124.200939
0.123209   131.094111
0.133209   --undefined--
0.143209   --undefined--
0.153209   --undefined--
0.163209   --undefined--
0.173209   176.258644
0.183209   175.660535
0.193209   174.341793
0.203209   171.935957
0.213209   170.166477
0.223209   168.148904
0.233209   165.496612
0.243209   163.554830
0.253209   161.620012
0.263209   158.306251
0.273209   152.208971
0.283209   150.859032
0.293209   148.024200
0.303209   149.700266
0.313209   147.235344
0.323209   150.732977
0.333209   154.679691
0.343209   158.254088
0.353209   160.507163
0.363209   160.588097
0.373209   158.295480
0.383209   --undefined--
0.393209   --undefined--
0.403209   --undefined--
0.413209   --undefined--
0.423209   --undefined--
0.433209   --undefined--
0.443209   --undefined--
0.453209   116.376159
0.463209   123.672297
0.473209   123.350936
0.483209   122.599881
0.493209   --undefined--
0.503209   --undefined--
0.513209   --undefined--
0.523209   173.678145
0.533209   177.423945
0.543209   177.989021
0.553209   175.957764
0.563209   171.839408
0.573209   167.677336
0.583209   161.658402
0.593209   163.539934
0.603209   163.385866
0.613209   155.545048
0.623209   153.356998
0.633209   148.253529
0.643209   139.783720
0.653209   135.545051
0.663209   123.576677
0.673209   --undefined--
0.683209   --undefined--
0.693209   --undefined--
0.703209   --undefined--
0.713209   --undefined--
0.723209   --undefined--
0.733209   113.494015
0.743209   113.422691
0.753209   113.780182
0.763209   113.617941
0.773209   112.634772
0.783209   111.677415
0.793209   111.975933
0.803209   108.906153
0.813209   108.761055
0.823209   109.897117
0.833209   108.699381
0.843209   109.903674
0.853209   110.822882
0.863209   110.308325
0.873209   109.602757
0.883209   109.574152
0.893209   109.637135
0.903209   108.376259
0.913209   --undefined--
0.923209   --undefined--
0.933209   --undefined--
0.943209   --undefined--
0.953209   --undefined--
0.963209   --undefined--
0.973209   --undefined--
0.983209   --undefined--
0.993209   --undefined--
1.003209   --undefined--
1.013209   --undefined--
1.023209   --undefined--
1.033209   97.363689
1.043209   96.257927
1.053209   94.905896
1.063209   --undefined--
1.073209   --undefined--
1.083209   --undefined--
1.093209   --undefined--
1.103209   --undefined--
1.113209   --undefined--
1.123209   --undefined--
1.133209   --undefined--
1.143209   --undefined--
1.153209   --undefined--
1.163209   --undefined--
1.173209   --undefined--
1.183209   --undefined--
1.193209   --undefined--
1.203209   --undefined--
1.213209   --undefined--
1.223209   --undefined--
1.233209   --undefined--
1.243209   --undefined--
1.253209   --undefined--
1.263209   --undefined--
1.273209   --undefined--
1.283209   --undefined--
1.293209   --undefined--
1.303209   --undefined--
1.313209   --undefined--
1.323209   --undefined--
1.333209   --undefined--
1.343209   --undefined--
1.353209   --undefined--
1.363209   --undefined--
1.373209   --undefined--
1.383209   76.042917
1.393209   88.248703
